,Batch size,Search space size,Migrating clones F1,Migration graph F1
721,256,1801439850948.1985,1.0,1.0
722,256,1801439850948.1985,0.8,0.7619047619047619
723,256,1801439850948.1985,0.625,0.6363636363636364
724,256,1801439850948.1985,0.9230769230769229,0.5555555555555556
725,256,1801439850948.1985,1.0,1.0
726,256,1801439850948.1985,0.8,0.7619047619047619
727,256,1801439850948.1985,1.0,0.3
728,256,1801439850948.1985,0.9230769230769229,0.6666666666666666
729,256,1801439850948.1985,1.0,1.0
730,256,1801439850948.1985,0.8,0.7619047619047619
731,256,1801439850948.1985,0.9090909090909091,0.8421052631578947
732,256,1801439850948.1985,0.9230769230769229,0.6666666666666666
733,256,1801439850948.1985,1.0,1.0
734,256,1801439850948.1985,0.8,0.7619047619047619
735,256,9.847709021836112e+16,0.8571428571428571,0.5714285714285714
736,256,9.847709021836112e+16,0.8571428571428571,0.5714285714285714
737,256,9.847709021836112e+16,0.8571428571428571,0.5714285714285714
738,256,9.847709021836112e+16,0.8571428571428571,0.5714285714285714
739,256,9.847709021836112e+16,0.8571428571428571,0.5714285714285714
740,256,1e+24,1.0,0.2
741,256,1e+24,0.875,0.6666666666666666
742,256,1e+24,1.0,0.2
743,256,1e+24,0.875,0.6666666666666666
744,256,1e+24,1.0,0.2
745,256,1e+24,0.875,0.6666666666666666
746,256,1e+24,1.0,0.2
747,256,1e+24,0.37499999999999994,0.6666666666666666
748,256,1e+24,1.0,0.2
749,256,1e+24,0.875,0.6666666666666666
750,256,7378697629483821.0,1.0,0.8888888888888888
751,256,7378697629483821.0,0.6666666666666666,0.8888888888888888
752,256,7378697629483821.0,1.0,0.8888888888888888
753,256,7378697629483821.0,0.6666666666666666,0.8888888888888888
754,256,7378697629483821.0,1.0,0.8888888888888888
755,256,7378697629483821.0,0.6666666666666666,0.8888888888888888
756,256,7378697629483821.0,1.0,0.8888888888888888
757,256,7378697629483821.0,0.6666666666666666,0.8888888888888888
758,256,7378697629483821.0,1.0,0.8888888888888888
759,256,7378697629483821.0,0.6666666666666666,0.8888888888888888
760,256,3.022314549036573e+19,1.0,1.0
761,256,3.022314549036573e+19,1.0,1.0
762,256,3.022314549036573e+19,1.0,1.0
763,256,3.022314549036573e+19,1.0,1.0
764,256,3.022314549036573e+19,1.0,1.0
765,256,28147497671.0656,0.8571428571428572,0.8571428571428572
766,256,28147497671.0656,0.8571428571428572,0.8571428571428572
767,256,28147497671.0656,0.8571428571428572,0.8571428571428572
768,256,28147497671.0656,0.8571428571428572,0.8571428571428572
769,256,28147497671.0656,0.8571428571428572,0.8571428571428572
770,256,3.7778931862957164e+18,0.8,0.9473684210526315
771,256,3.7778931862957164e+18,0.9090909090909091,0.6363636363636364
772,256,3.7778931862957164e+18,0.9090909090909091,0.9473684210526315
773,256,3.7778931862957164e+18,0.9090909090909091,0.6363636363636364
774,256,3.7778931862957164e+18,0.8,0.9473684210526315
775,256,3.7778931862957164e+18,0.9090909090909091,0.6363636363636364
776,256,3.7778931862957164e+18,0.8,0.9473684210526315
777,256,3.7778931862957164e+18,0.9090909090909091,0.6363636363636364
778,256,3.7778931862957164e+18,0.8,0.9473684210526315
779,256,3.7778931862957164e+18,0.9090909090909091,0.6363636363636364
780,256,1.9342813113834068e+21,1.0,0.5
781,256,1.9342813113834068e+21,0.8571428571428572,0.5263157894736842
782,256,1.9342813113834068e+21,1.0,0.5
783,256,1.9342813113834068e+21,0.8571428571428572,0.5263157894736842
784,256,1.9342813113834068e+21,1.0,0.5
785,256,1.9342813113834068e+21,0.8571428571428572,0.5263157894736842
786,256,1.9342813113834068e+21,1.0,0.5
787,256,1.9342813113834068e+21,0.8571428571428572,0.5263157894736842
788,256,1.9342813113834068e+21,1.0,0.5
789,256,1.9342813113834068e+21,0.8571428571428572,0.5263157894736842
790,256,1.0941898913151236e+16,1.0,0.6666666666666666
791,256,1.0941898913151236e+16,1.0,0.47619047619047616
792,256,1.0941898913151236e+16,1.0,0.6666666666666666
793,256,1.0941898913151236e+16,1.0,0.6666666666666666
794,256,1.0941898913151236e+16,1.0,0.47619047619047616
795,256,1.4420993610649923e+25,1.0,0.9600000000000002
796,256,1.4420993610649923e+25,1.0,0.9600000000000002
797,256,1.4420993610649923e+25,1.0,0.9600000000000002
798,256,1.4420993610649923e+25,1.0,0.9600000000000002
799,256,1.4420993610649923e+25,1.0,0.9600000000000002
800,1024,381469726.5625,1.0,1.0
801,1024,381469726.5625,0.8888888888888888,0.6666666666666666
802,1024,381469726.5625,1.0,1.0
803,1024,381469726.5625,0.8888888888888888,0.6666666666666666
804,1024,381469726.5625,1.0,1.0
805,1024,381469726.5625,0.8888888888888888,0.6666666666666666
806,1024,381469726.5625,1.0,1.0
807,1024,381469726.5625,0.8888888888888888,0.6666666666666666
808,1024,381469726.5625,1.0,1.0
809,1024,381469726.5625,0.8888888888888888,0.6666666666666666
810,1024,122070.3125,1.0,0.8888888888888888
811,1024,122070.3125,1.0,0.8235294117647058
812,1024,122070.3125,1.0,1.0
813,1024,122070.3125,1.0,0.9230769230769229
814,1024,122070.3125,1.0,0.8888888888888888
815,1024,122070.3125,1.0,0.8235294117647058
816,1024,122070.3125,1.0,1.0
817,1024,122070.3125,1.0,0.9230769230769229
818,1024,122070.3125,1.0,0.8888888888888888
819,1024,122070.3125,0.8571428571428572,0.8235294117647058
820,1024,122070.3125,1.0,1.0
821,1024,122070.3125,1.0,0.9230769230769229
822,1024,122070.3125,1.0,0.8888888888888888
823,1024,122070.3125,1.0,0.8235294117647058
824,1024,122070.3125,1.0,1.0
825,1024,122070.3125,1.0,0.9230769230769229
826,1024,122070.3125,1.0,0.8888888888888888
827,1024,122070.3125,1.0,0.8235294117647058
828,1024,122070.3125,1.0,1.0
829,1024,122070.3125,1.0,0.9230769230769229
830,1024,4882.8125,1.0,0.75
831,1024,4882.8125,0.8888888888888888,0.8571428571428571
832,1024,4882.8125,0.8571428571428572,0.8
833,1024,4882.8125,1.0,0.75
834,1024,4882.8125,0.8888888888888888,0.8571428571428571
835,1024,4882.8125,0.8571428571428572,0.8
836,1024,4882.8125,1.0,0.75
837,1024,4882.8125,0.8,0.8571428571428571
838,1024,4882.8125,0.8571428571428572,0.8
839,1024,4882.8125,1.0,0.75
840,1024,4882.8125,0.8888888888888888,0.8571428571428571
841,1024,4882.8125,0.75,0.8
842,1024,4882.8125,1.0,0.75
843,1024,4882.8125,0.8888888888888888,0.8571428571428571
844,1024,4882.8125,0.8571428571428572,0.8
845,1024,1.5625,1.0,0.75
846,1024,1.5625,1.0,0.75
847,1024,1.5625,1.0,0.75
848,1024,1.5625,1.0,0.75
849,1024,1.5625,1.0,0.75
850,1024,3051757.8125,1.0,0.8
851,1024,3051757.8125,0.75,0.46153846153846145
852,1024,3051757.8125,1.0,0.9090909090909091
853,1024,3051757.8125,1.0,0.5
854,1024,3051757.8125,0.8571428571428572,0.7692307692307694
855,1024,3051757.8125,1.0,0.8
856,1024,3051757.8125,0.75,0.46153846153846145
857,1024,3051757.8125,1.0,0.9090909090909091
